"","all_trips$member_casual","all_trips$day_of_week","all_trips$ride_length"
"1","casual","Sunday",1517.79610855304
"2","member","Sunday",823.702056270393
"3","casual","Monday",1364.75402307073
"4","member","Monday",721.641111792425
"5","casual","Tuesday",1191.27608450372
"6","member","Tuesday",710.971292475763
"7","casual","Wednesday",1155.22052023951
"8","member","Wednesday",709.29486298372
"9","casual","Thursday",1194.23799995525
"10","member","Thursday",722.216763503934
"11","casual","Friday",1239.2653221173
"12","member","Friday",733.233245060094
"13","casual","Saturday",1484.43927260172
"14","member","Saturday",829.623998524911
